date,article,daily_units,daily_revenue
2021-01-08,FONDANT CHOCOLAT,1,2.5
2021-01-08,FORMULE SANDWICH,6,39.0
2021-01-08,GACHE,1,5.0
2021-01-08,GAL FRANGIPANE 4P,5,40.0
2021-01-08,GAL FRANGIPANE 6P,1,12.0
2021-01-08,GAL POMME 4P,4,32.0
2021-01-08,GAL POMME 6P,1,12.0
2021-01-08,KOUIGN AMANN,2,4.2
2021-01-08,MOISSON,5,10.0
2021-01-08,PAIN,1,1.15
2021-01-08,PAIN AU CHOCOLAT,24,28.799999999999997
2021-01-08,PAIN AUX RAISINS,4,5.6
2021-01-08,PAIN BANETTE,5,7.0
2021-01-08,PAIN CHOCO AMANDES,4,6.0
2021-01-08,QUIM BREAD,5,5.0
2021-01-08,SAND JB EMMENTAL,4,14.0
2021-01-08,SANDWICH COMPLET,6,27.0
2021-01-08,SEIGLE,2,3.6
2021-01-08,SPECIAL BREAD,6,14.399999999999999
2021-01-08,SPECIAL BREAD KG,1,4.8
2021-01-08,TRADITIONAL BAGUETTE,78,93.6
2021-01-08,VIK BREAD,2,5.0
2021-01-09,BAGUETTE,25,22.5
2021-01-09,BANETTE,30,31.5
2021-01-09,BANETTINE,5,3.0
2021-01-09,BOISSON 33CL,1,1.5
2021-01-09,BOULE 200G,1,1.1
2021-01-09,BOULE 400G,6,9.0
2021-01-09,BRIOCHE,2,10.0
2021-01-09,CAFE OU EAU,4,4.0
2021-01-09,CAMPAGNE,5,9.0
2021-01-09,CEREAL BAGUETTE,10,12.5
2021-01-09,CHOCOLAT,1,1.5
2021-01-09,COMPLET,4,6.0
2021-01-09,COOKIE,2,2.0
2021-01-09,COUPE,32,4.8
2021-01-09,CROISSANT,33,36.300000000000004
2021-01-09,DIVERS BOULANGERIE,1,1.0
2021-01-09,DIVERS CONFISERIE,1,3.0
2021-01-09,DIVERS VIENNOISERIE,5,22.0
2021-01-09,FICELLE,1,0.6
2021-01-09,FORMULE SANDWICH,4,26.0
2021-01-09,GAL FRANGIPANE 4P,6,48.0
2021-01-09,GAL FRANGIPANE 6P,3,36.0
2021-01-09,GAL POIRE CHOCO 4P,2,16.0
2021-01-09,GAL POIRE CHOCO 6P,3,36.0
2021-01-09,GAL POMME 4P,3,24.0
2021-01-09,GAL POMME 6P,2,24.0
2021-01-09,GRAND FAR BRETON,1,7.0
2021-01-09,KOUIGN AMANN,1,2.1
2021-01-09,MOISSON,4,8.0
2021-01-09,NANTAIS,3,7.5
2021-01-09,PAIN,5,5.75
2021-01-09,PAIN AU CHOCOLAT,25,30.0
2021-01-09,PAIN AUX RAISINS,4,5.6
2021-01-09,PAIN BANETTE,6,8.399999999999999
2021-01-09,QUIM BREAD,2,2.0
2021-01-09,SEIGLE,1,1.8
2021-01-09,SPECIAL BREAD,8,19.2
2021-01-09,SPECIAL BREAD KG,1,4.8
2021-01-09,TRADITIONAL BAGUETTE,135,162.0
2021-01-09,VIK BREAD,7,17.5
2021-01-10,BAGUETTE,36,32.4
2021-01-10,BAGUETTE GRAINE,10,13.0
2021-01-10,BANETTE,35,36.75
2021-01-10,BANETTINE,6,3.5999999999999996
2021-01-10,BOULE 200G,1,1.1
2021-01-10,BOULE 400G,7,10.5
2021-01-10,BRIOCHE,2,10.0
2021-01-10,CAMPAGNE,5,9.0
2021-01-10,CEREAL BAGUETTE,9,11.25
2021-01-10,CHAUSSON AUX POMMES,4,5.6
2021-01-10,COMPLET,3,4.5
2021-01-10,COOKIE,4,4.0
2021-01-10,COUPE,23,3.4499999999999997
2021-01-10,CROISSANT,48,52.800000000000004
2021-01-10,CROISSANT AMANDES,3,4.199999999999999
2021-01-10,DEMI BAGUETTE,2,0.9
2021-01-10,DIVERS BOULANGERIE,2,2.0
2021-01-10,DIVERS VIENNOISERIE,7,36.0
2021-01-10,FICELLE,4,2.4
2021-01-10,GACHE,1,5.0
2021-01-10,GAL FRANGIPANE 4P,15,120.0
2021-01-10,GAL FRANGIPANE 6P,6,72.0
2021-01-10,GAL POIRE CHOCO 4P,3,24.0
2021-01-10,GAL POIRE CHOCO 6P,2,24.0
2021-01-10,GAL POMME 4P,5,40.0
2021-01-10,GAL POMME 6P,3,36.0
2021-01-10,GALETTE 8 PERS,1,16.0
2021-01-10,KOUIGN AMANN,6,12.600000000000001
2021-01-10,MOISSON,1,2.0
2021-01-10,NANTAIS,3,7.5
2021-01-10,PAIN,2,2.3
2021-01-10,PAIN AU CHOCOLAT,42,50.4
2021-01-10,PAIN AUX RAISINS,3,4.199999999999999
2021-01-10,PAIN BANETTE,6,8.399999999999999
2021-01-10,PAIN CHOCO AMANDES,2,3.0
2021-01-10,QUIM BREAD,3,3.0
2021-01-10,SACHET VIENNOISERIE,1,4.0
2021-01-10,SEIGLE,2,3.6
2021-01-10,SPECIAL BREAD,8,19.2
2021-01-10,SPECIAL BREAD KG,1,4.8
2021-01-10,TRADITIONAL BAGUETTE,140,168.0
2021-01-10,VIK BREAD,8,20.0
2021-01-11,BAGUETTE,31,27.900000000000002
2021-01-11,BANETTE,21,22.05
2021-01-11,BANETTINE,3,1.7999999999999998
2021-01-11,BOULE 200G,6,6.6000000000000005
2021-01-11,BOULE 400G,7,10.5
2021-01-11,BOULE POLKA,2,3.2
2021-01-11,BRIOCHE,2,10.0
2021-01-11,CAMPAGNE,5,9.0
2021-01-11,CEREAL BAGUETTE,8,10.0
2021-01-11,CHAUSSON AUX POMMES,2,2.8
2021-01-11,COMPLET,1,1.5
2021-01-11,COOKIE,7,7.0
2021-01-11,COUPE,20,3.0
2021-01-11,CROISSANT,14,15.400000000000002
2021-01-11,CROISSANT AMANDES,4,5.6
2021-01-11,DEMI BAGUETTE,2,0.9
2021-01-11,DIVERS PATISSERIE,7,56.0
2021-01-11,FICELLE,2,1.2
2021-01-11,FONDANT CHOCOLAT,2,5.0
2021-01-11,FORMULE SANDWICH,7,45.5
2021-01-11,KOUIGN AMANN,2,4.2
2021-01-11,NANTAIS,2,5.0
2021-01-11,PAIN,6,6.8999999999999995
2021-01-11,PAIN AU CHOCOLAT,17,20.4
2021-01-11,PAIN AUX RAISINS,1,1.4
2021-01-11,PAIN BANETTE,2,2.8
2021-01-11,PAIN CHOCO AMANDES,1,1.5
2021-01-11,QUIM BREAD,4,4.0
2021-01-11,SAND JB,1,3.0
2021-01-11,SAND JB EMMENTAL,5,17.5
2021-01-11,SANDWICH COMPLET,3,13.5
2021-01-11,SPECIAL BREAD,1,2.4
2021-01-11,SPECIAL BREAD KG,1,4.8
2021-01-11,SUCETTE,2,0.6
2021-01-11,TRADITIONAL BAGUETTE,88,105.6
2021-01-11,VIK BREAD,3,7.5
2021-01-12,BAGUETTE,29,26.1
2021-01-12,BANETTE,18,18.9
2021-01-12,BANETTINE,5,3.0
2021-01-12,BOISSON 33CL,1,1.5
2021-01-12,BOULE 200G,3,3.3000000000000003
2021-01-12,BOULE 400G,3,4.5
2021-01-12,CAFE OU EAU,6,6.0
2021-01-12,CAMPAGNE,2,3.6
2021-01-12,CEREAL BAGUETTE,4,5.0
2021-01-12,CHAUSSON AUX POMMES,4,5.6
2021-01-12,COMPLET,3,4.5
2021-01-12,COOKIE,6,6.0
2021-01-12,COUPE,16,2.4
2021-01-12,CROISSANT,24,26.400000000000002
2021-01-12,CROISSANT AMANDES,1,1.4
2021-01-12,DEMI BAGUETTE,2,0.9
2021-01-12,DIVERS PATISSERIE,9,52.0
2021-01-12,DIVERS VIENNOISERIE,3,6.0
2021-01-12,FICELLE,4,2.4
2021-01-12,FORMULE SANDWICH,5,32.5
2021-01-12,KOUIGN AMANN,1,2.1
2021-01-12,MOISSON,2,4.0
2021-01-12,NANTAIS,1,2.5
2021-01-12,PAIN,2,2.3
2021-01-12,PAIN AU CHOCOLAT,12,14.399999999999999
2021-01-12,PAIN AUX RAISINS,1,1.4
2021-01-12,PAIN CHOCO AMANDES,5,7.5
2021-01-12,QUIM BREAD,1,1.0
2021-01-12,SAND JB EMMENTAL,1,3.5
2021-01-12,SANDWICH COMPLET,5,22.5
2021-01-12,SEIGLE,2,3.6
2021-01-12,SPECIAL BREAD,4,9.6
2021-01-12,SPECIAL BREAD KG,1,4.8
2021-01-12,SUCETTE,1,0.3
2021-01-12,TRADITIONAL BAGUETTE,71,85.19999999999999
2021-01-14,BAGUETTE,24,21.6
2021-01-14,BANETTE,21,22.05
2021-01-14,BANETTINE,3,1.7999999999999998
2021-01-14,BOULE 200G,2,2.2
2021-01-14,BOULE 400G,4,6.0
2021-01-14,BRIOCHE,1,5.0
2021-01-14,CAFE OU EAU,3,3.0
2021-01-14,CAMPAGNE,5,9.0
2021-01-14,CEREAL BAGUETTE,2,2.5
2021-01-14,CHAUSSON AUX POMMES,2,2.8
2021-01-14,COMPLET,3,4.5
2021-01-14,COOKIE,3,3.0
2021-01-14,COUPE,20,3.0
2021-01-14,CROISSANT,24,26.400000000000002
2021-01-14,CROISSANT AMANDES,3,4.199999999999999
2021-01-14,DIVERS PATISSERIE,12,118.0
2021-01-14,FICELLE,1,0.6
2021-01-14,FORMULE SANDWICH,7,45.5
2021-01-14,GACHE,1,5.0
2021-01-14,KOUIGN AMANN,5,10.5
2021-01-14,MOISSON,4,8.0
2021-01-14,NANTAIS,6,15.0
2021-01-14,PAIN,4,4.6
2021-01-14,PAIN AU CHOCOLAT,18,21.599999999999998
2021-01-14,PAIN AUX RAISINS,2,2.8
2021-01-14,PAIN BANETTE,6,8.399999999999999
2021-01-14,QUIM BREAD,1,1.0
2021-01-14,SACHET DE CROUTON,2,3.2
2021-01-14,SAND JB EMMENTAL,1,3.5
2021-01-14,SANDWICH COMPLET,8,36.0
2021-01-14,SEIGLE,2,3.6
2021-01-14,SPECIAL BREAD,8,19.2
2021-01-14,SUCETTE,2,0.6
2021-01-14,TRADITIONAL BAGUETTE,77,92.39999999999999
2021-01-15,BAGUETTE,19,17.1
2021-01-15,BANETTE,24,25.200000000000003
2021-01-15,BANETTINE,3,1.7999999999999998
2021-01-15,BOULE 400G,3,4.5
2021-01-15,CAFE OU EAU,2,2.0
2021-01-15,CAMPAGNE,5,9.0
2021-01-15,CEREAL BAGUETTE,9,11.25
2021-01-15,CHAUSSON AUX POMMES,3,4.199999999999999
2021-01-15,COMPLET,4,6.0
2021-01-15,COOKIE,2,2.0
2021-01-15,COUPE,26,3.9
2021-01-15,CROISSANT,37,40.7
2021-01-15,CROISSANT AMANDES,3,4.199999999999999
2021-01-15,DEMI BAGUETTE,1,0.45
2021-01-15,DIVERS CONFISERIE,1,1.0
2021-01-15,DIVERS PATISSERIE,7,44.0
2021-01-15,DIVERS SANDWICHS,2,4.57
2021-01-15,DIVERS VIENNOISERIE,1,6.0
2021-01-15,FORMULE SANDWICH,13,84.5
2021-01-15,GACHE,1,5.0
2021-01-15,KOUIGN AMANN,4,8.4
2021-01-15,MOISSON,5,10.0
2021-01-15,PAIN,1,1.15
2021-01-15,PAIN AU CHOCOLAT,26,31.2
2021-01-15,PAIN AUX RAISINS,4,5.6
2021-01-15,PAIN BANETTE,1,1.4
2021-01-15,PAIN CHOCO AMANDES,2,3.0
2021-01-15,QUIM BREAD,4,4.0
2021-01-15,SAND JB,1,3.0
2021-01-15,SAND JB EMMENTAL,5,17.5
2021-01-15,SANDWICH COMPLET,4,18.0
2021-01-15,SEIGLE,2,3.6
2021-01-15,SPECIAL BREAD,7,16.8
2021-01-15,SPECIAL BREAD KG,1,4.8
2021-01-15,TRADITIONAL BAGUETTE,85,102.0
2021-01-15,VIK BREAD,4,10.0
2021-01-16,BAGUETTE,28,25.2
2021-01-16,BANETTE,22,23.1
2021-01-16,BANETTINE,6,3.5999999999999996
2021-01-16,BOULE 200G,2,2.2
2021-01-16,BOULE 400G,2,3.0
2021-01-16,BOULE POLKA,3,4.800000000000001
2021-01-16,BRIOCHE,2,10.0
2021-01-16,CAFE OU EAU,1,1.0
2021-01-16,CAMPAGNE,5,9.0
2021-01-16,CEREAL BAGUETTE,14,17.5
2021-01-16,CHAUSSON AUX POMMES,4,5.6
2021-01-16,COMPLET,3,4.5
2021-01-16,COOKIE,7,7.0
2021-01-16,COUPE,30,4.5
2021-01-16,CROISSANT,27,29.700000000000003
2021-01-16,DEMI BAGUETTE,2,0.9
2021-01-16,DIVERS PATISSERIE,3,18.0
2021-01-16,DIVERS VIENNOISERIE,5,30.0
2021-01-16,FICELLE,2,1.2
2021-01-16,FORMULE SANDWICH,1,6.5
2021-01-16,GACHE,1,5.0
2021-01-16,GAL FRANGIPANE 4P,7,56.0
2021-01-16,GAL FRANGIPANE 6P,5,60.0
2021-01-16,GAL POMME 4P,3,24.0
2021-01-16,GRANDE SUCETTE,1,0.6
2021-01-16,KOUIGN AMANN,1,2.1
2021-01-16,MOISSON,4,8.0
2021-01-16,NANTAIS,3,7.5
2021-01-16,PAIN,3,3.4499999999999997
2021-01-16,PAIN AU CHOCOLAT,16,19.2
2021-01-16,PAIN AUX RAISINS,2,2.8
2021-01-16,PAIN BANETTE,5,7.0
2021-01-16,PAIN CHOCO AMANDES,4,6.0
2021-01-16,QUIM BREAD,4,4.0
2021-01-16,SACHET VIENNOISERIE,1,4.0
2021-01-16,SEIGLE,2,3.6
2021-01-16,SPECIAL BREAD,10,24.0
2021-01-16,SPECIAL BREAD KG,1,4.8
2021-01-16,SUCETTE,1,0.3
2021-01-16,TRADITIONAL BAGUETTE,130,156.0
2021-01-16,VIK BREAD,6,15.0
2021-01-17,BAGUETTE,37,33.300000000000004
2021-01-17,BAGUETTE GRAINE,11,14.3
2021-01-17,BANETTE,37,38.85
2021-01-17,BANETTINE,6,3.5999999999999996
2021-01-17,BOISSON 33CL,1,1.5
2021-01-17,BOULE 200G,3,3.3000000000000003
2021-01-17,BOULE 400G,7,10.5
2021-01-17,BOULE POLKA,1,1.6
2021-01-17,BRIOCHE,1,5.0
2021-01-17,CAMPAGNE,8,14.4
2021-01-17,CEREAL BAGUETTE,11,13.75
2021-01-17,CHAUSSON AUX POMMES,2,2.8
2021-01-17,COMPLET,4,6.0
2021-01-17,COOKIE,10,10.0
2021-01-17,COUPE,35,5.25
2021-01-17,CROISSANT,42,46.2
2021-01-17,DIVERS CONFISERIE,1,3.0
2021-01-17,DIVERS VIENNOISERIE,5,22.0
2021-01-17,FICELLE,4,2.4
2021-01-17,FONDANT CHOCOLAT,3,7.5
2021-01-17,FORMULE SANDWICH,2,13.0
2021-01-17,GACHE,2,10.0
2021-01-17,GAL FRANGIPANE 4P,7,56.0
2021-01-17,GAL FRANGIPANE 6P,3,36.0
2021-01-17,GAL POIRE CHOCO 4P,3,24.0
2021-01-17,GAL POIRE CHOCO 6P,2,24.0
2021-01-17,GAL POMME 6P,6,72.0
2021-01-17,GD KOUIGN AMANN,1,7.5
2021-01-17,KOUIGN AMANN,4,8.4
2021-01-17,MOISSON,5,10.0
2021-01-17,NANTAIS,2,5.0
2021-01-17,PAIN,6,6.8999999999999995
2021-01-17,PAIN AU CHOCOLAT,47,56.4
2021-01-17,PAIN AUX RAISINS,1,1.4
2021-01-17,PAIN BANETTE,6,8.399999999999999
2021-01-17,PAIN CHOCO AMANDES,2,3.0
2021-01-17,QUIM BREAD,3,3.0
2021-01-17,SACHET DE CROUTON,1,1.6
2021-01-17,SAND JB,1,3.0
2021-01-17,SANDWICH COMPLET,1,4.5
2021-01-17,SEIGLE,2,3.6
2021-01-17,SPECIAL BREAD,8,19.2
2021-01-17,SPECIAL BREAD KG,1,4.8
2021-01-17,TRADITIONAL BAGUETTE,155,186.0
2021-01-17,VIK BREAD,10,25.0
2021-01-18,BAGUETTE,27,24.3
2021-01-18,BANETTE,21,22.05
2021-01-18,BANETTINE,3,1.7999999999999998
2021-01-18,BOULE 200G,1,1.1
2021-01-18,BOULE 400G,7,10.5
2021-01-18,BOULE POLKA,1,1.6
2021-01-18,BRIOCHE,1,5.0
2021-01-18,CAFE OU EAU,3,3.0
2021-01-18,CAMPAGNE,5,9.0
2021-01-18,CEREAL BAGUETTE,5,6.25
2021-01-18,CHAUSSON AUX POMMES,1,1.4
2021-01-18,COMPLET,5,7.5
2021-01-18,COOKIE,6,6.0
2021-01-18,COUPE,24,3.5999999999999996
2021-01-18,CROISSANT,16,17.6
2021-01-18,CROISSANT AMANDES,5,7.0
2021-01-18,DEMI BAGUETTE,2,0.9
2021-01-18,DIVERS CONFISERIE,1,3.0
2021-01-18,DIVERS VIENNOISERIE,1,4.0
2021-01-18,FICELLE,4,2.4
2021-01-18,FINANCIER X5,2,6.0
2021-01-18,FORMULE SANDWICH,5,32.5
2021-01-18,GAL FRANGIPANE 4P,3,24.0
2021-01-18,GAL FRANGIPANE 6P,1,12.0
2021-01-18,GAL POMME 4P,4,32.0
2021-01-18,KOUIGN AMANN,3,6.300000000000001
2021-01-18,MOISSON,1,2.0
2021-01-18,PAIN,1,1.15
2021-01-18,PAIN AU CHOCOLAT,14,16.8
2021-01-18,PAIN AUX RAISINS,3,4.199999999999999
2021-01-18,PAIN BANETTE,3,4.199999999999999
2021-01-18,PAIN CHOCO AMANDES,3,4.5
2021-01-18,QUIM BREAD,1,1.0
2021-01-18,SACHET VIENNOISERIE,2,8.0
2021-01-18,SAND JB EMMENTAL,7,24.5
2021-01-18,SANDWICH COMPLET,5,22.5
2021-01-18,SEIGLE,1,1.8
2021-01-18,SPECIAL BREAD,7,16.8
2021-01-18,SUCETTE,1,0.3
2021-01-18,TRADITIONAL BAGUETTE,80,96.0
2021-01-19,BAGUETTE,21,18.900000000000002
2021-01-19,BANETTE,17,17.85
2021-01-19,BANETTINE,1,0.6
2021-01-19,BOULE 200G,5,5.5
2021-01-19,BOULE 400G,5,7.5
2021-01-19,BRIOCHE,1,5.0
2021-01-19,CAFE OU EAU,8,8.0
2021-01-19,CAMPAGNE,1,1.8
2021-01-19,CEREAL BAGUETTE,3,3.75
2021-01-19,CHAUSSON AUX POMMES,1,1.4
2021-01-19,COMPLET,3,4.5
